5 1518 5539.0
7 1278 2022.0
12 1061 1010.0
13 1950 3403.0
14 970 3567.0
18 8 460.0
20 1699 5924.0
23 546 2818.0
23 1919 2056.0
28 383 614.0
28 1078 541.0
31 615 1776.0
34 1169 435.0
39 2004 1889.0
43 640 -570.0
50 932 -802.0
51 1216 2808.0
52 1167 436.0
53 1181 1438.0
59 655 1550.0
59 1515 2180.0
61 115 3657.0
62 1390 -844.0
67 1317 5933.0
67 1441 825.0
68 821 2351.0
72 310 -538.0
73 2008 -443.0
83 1338 3538.0
87 504 -1243.0
88 205 2771.0
90 1079 -677.0
91 1444 4245.0
94 284 575.0
94 474 725.0
96 969 644.0
96 1094 3992.0
97 183 4773.0
97 1099 -691.0
102 535 463.0
102 1323 3019.0
104 1905 2211.0
105 34 956.0
105 655 630.0
110 153 1139.0
112 343 2776.0
114 625 1717.0
115 1959 3556.0
116 754 732.0
117 1343 1494.0
120 1242 457.0
129 1118 1387.0
131 944 -1094.0
135 1397 3693.0
138 1921 -403.0
141 1869 449.0
143 1717 2088.0
147 2034 2828.0
149 747 1129.0
151 1786 988.0
151 1964 947.0
152 411 -673.0
155 510 1510.0
155 2001 430.0
157 442 2750.0
158 195 1781.0
158 915 1372.0
167 1394 1944.0
168 512 5056.0
169 1861 953.0
176 575 4137.0
179 799 450.0
182 718 -758.0
182 800 530.0
182 1597 4042.0
185 1131 1012.0
186 1723 2919.0
188 1781 468.0
189 1385 1531.0
190 530 464.0
190 1463 5346.0
192 1463 4476.0
194 4 442.0
195 1152 1341.0
195 1833 826.0
196 628 506.0
196 724 705.0
196 1151 2512.0
196 1152 15.0
196 1153 -651.0
199 1016 579.0
202 575 905.0
210 1966 4686.0
211 1356 4470.0
211 1666 2846.0
213 1445 -552.0
216 4 2308.0
216 192 1533.0
218 1286 1924.0
226 655 6238.0
226 1306 -845.0
237 86 4794.0
243 753 -567.0
244 669 2188.0
245 437 7931.0
245 1117 -1039.0
246 45 1210.0
250 1986 432.0
252 677 1384.0
252 1365 1817.0
252 1901 3643.0
256 743 1318.0
256 1222 -679.0
258 293 744.0
259 1416 1364.0
262 1398 2399.0
265 1880 532.0
267 189 -836.0
268 557 454.0
269 1397 537.0
269 1537 4982.0
272 749 2318.0
272 2036 5199.0
275 2042 619.0
276 726 -942.0
276 1384 439.0
285 809 666.0
287 119 -399.0
290 339 876.0
290 413 -823.0
297 767 2613.0
300 264 640.0
301 528 -1104.0
301 1591 635.0
305 1491 2320.0
306 1389 1953.0
311 709 6439.0
312 710 26.0
312 946 -975.0
312 1871 893.0
313 1948 3944.0
317 1746 -420.0
318 652 460.0
322 80 2833.0
322 455 663.0
325 50 -499.0
327 1115 980.0
329 484 -548.0
329 1523 4121.0
331 1285 -1032.0
333 1074 -426.0
334 1075 2818.0
339 695 -915.0
339 1262 545.0
344 1255 2911.0
346 639 946.0
347 1247 441.0
351 1729 473.0
352 1729 -779.0
352 1812 937.0
353 973 498.0
354 210 -851.0
356 784 847.0
357 1625 3888.0
359 294 2720.0
359 779 -974.0
362 1166 2608.0
365 1439 4407.0
366 1861 582.0
368 114 770.0
368 531 -1015.0
372 1097 -566.0
372 1289 1457.0
375 722 2009.0
379 1059 -683.0
381 816 -948.0
381 1190 2675.0
383 241 2630.0
384 1022 1845.0
385 23 -417.0
385 535 2079.0
385 1023 -1407.0
385 1024 -2034.0
385 1025 -2669.0
385 1026 540.0
385 1924 2678.0
386 372 2575.0
386 1022 -1358.0
386 1024 -1807.0
386 1026 976.0
386 1027 5.0
386 1832 -547.0
388 1023 -960.0
388 1024 -2216.0
388 1025 1510.0
388 1666 775.0
388 1936 1618.0
388 1937 3101.0
389 661 2615.0
389 1937 86.0
390 621 595.0
392 1186 -793.0
392 1826 1303.0
396 966 -1181.0
398 930 1596.0
399 382 3293.0
402 1009 -717.0
404 395 2668.0
405 174 653.0
406 1404 711.0
412 1776 3083.0
413 1681 2806.0
413 1919 1562.0
414 131 4986.0
417 1249 983.0
421 269 758.0
429 442 1981.0
